algo,n,avg_ns,median_ns,std_ns,count
closest,1000,2505820.0,2549200.0,497666.9720918909,10
closest,2000,5558870.0,5310650.0,870649.5723819595,10
closest,5000,11342840.0,10519600.0,2341196.4487320483,10
closest,10000,41688210.0,43605800.0,8898224.587267082,10
closest,20000,16905660.0,16240650.0,3178000.609118185,10
mergesort,1000,157060.0,145700.0,64376.396640728846,10
mergesort,2000,567370.0,429900.0,388523.0668112827,10
mergesort,5000,1219600.0,990900.0,734590.9776497697,10
mergesort,10000,1127090.0,1140450.0,105184.82621874062,10
mergesort,20000,2548070.0,2046600.0,1041898.830714597,10
quicksort,1000,156950.0,140800.0,58783.71373093061,10
quicksort,2000,300690.0,314000.0,46266.26921058869,10
quicksort,5000,793420.0,646500.0,409039.90786012827,10
quicksort,10000,1021530.0,995400.0,141460.57990361372,10
quicksort,20000,1656540.0,1497900.0,358526.04182495124,10
select,1000,214210.0,163250.0,90592.31571533353,10
select,2000,169760.0,152500.0,65475.579841308434,10
select,5000,345670.0,348750.0,54425.444417110644,10
select,10000,531790.0,518500.0,102866.3906887635,10
select,20000,570450.0,530850.0,154634.3159414063,10
